"name","numberOfCores","memoryInMB","linuxPrice","windowsPrice","bestPriceRegion"
"Standard_ND24rs",24,448,"9.1080","10.9710","West US 2 / 0%"
"Standard_ND24s",24,448,"8.2800","9.9720","West US 2 / 0%"
"Standard_ND40rs_v2",40,672,"22.0320","23.8720","West US 2 / 0%"
"Standard_ND6s",6,112,"2.0700","2.4930","West US 2 / 0%"
"Standard_ND96amsr_A100_v4",96,1800,"32.7700","37.1860","West US 2 / 0%"
"Standard_ND96asr_v4",96,900,"27.1970","31.6130","West US 2 / 0%"
"Standard_ND96is_H100_v5",96,1900,"88.4880","92.9040","East US / 0%"
"Standard_ND96isr_H100_v5",96,1900,"98.3200","102.7360","West US 3 / 0%"
"Standard_NP10s",10,168,"1.6500","2.1100","West US 2 / 0%"
"Standard_NP20s",20,336,"3.3000","4.2200","East US / 0%"
"Standard_NP40s",40,672,"6.6000","8.4400","West US 2 / 0%"
"Standard_NV12",12,112,"2.2800","2.8800","West US 2 / -4.2%"
"Standard_NV12ads_A10_v5",12,110,"0.9080","1.4600","West US 2 / 0%"
"Standard_NV12ads_V710_v5",12,64,"1.4000","1.9520","East US / 0%"
"Standard_NV12s_v3",12,112,"1.1400","1.6920","West US / 0%"
"Standard_NV16as_v4",16,56,"0.9320","1.6680","East US 2 / 0%"
"Standard_NV18ads_A10_v5",18,220,"1.6000","2.4280","East US / 0%"
"Standard_NV24",24,224,"4.5600","5.7610","West US 2 / -4.2%"
"Standard_NV24ads_V710_v5",24,128,"2.8000","3.9040","East US / 0%"
"Standard_NV24s_v3",24,224,"2.2800","3.3840","West US 2 / 0%"
"Standard_NV32as_v4",32,112,"1.8640","3.3360","West US 2 / 0%"
"Standard_NV36adms_A10_v5",36,880,"4.5200","6.1760","East US / 0%"
"Standard_NV36ads_A10_v5",36,440,"3.2000","4.8560","West US 3 / 0%"
"Standard_NV48s_v3",48,448,"4.5600","6.7680","West US / 0%"
"Standard_NV4ads_V710_v5",4,16,"0.4670","0.6510","East US / 0%"
"Standard_NV4as_v4",4,14,"0.2330","0.4170","East US 2 / 0%"
"Standard_NV6",6,56,"1.1400","1.4400","West US 2 / -4.2%"
"Standard_NV6ads_A10_v5",6,55,"0.4540","0.7300","East US / 0%"
"Standard_NV72ads_A10_v5",72,880,"6.5200","9.8320","West US 2 / 0%"
"Standard_NV8ads_V710_v5",8,32,"0.9330","1.3010","East US / 0%"
"Standard_NV8as_v4",8,28,"0.4660","0.8340","East US 2 / 0%"
"Standard_PB6s",6,112,"0.8300","1.1060","East US / 0%"
